"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2455","Search product @master @regression","chromium","2026-01-18","passed","2026-01-18","","SearchProductTest.spec.ts","",""
"","5728","add product to cart","chromium","2026-01-17","passed","2026-01-17","","AddToCartTest.spec.ts","",""
"","2493","Login test with JSON Data : Valid Login @datadriven","chromium","2026-01-15","passed","2026-01-15","","LoginDataDrivenTest.spec.ts","",""
"","8165","account registraion test @master @sanity @regression","chromium","2026-01-18","passed","2026-01-18","","AccountRegistration.spec.ts","",""
"","2205","Login test with CSV Data : valid login @datadriven","chromium","2026-01-15","passed","2026-01-15","","LoginDataDrivenTest.spec.ts","",""
"","4233","User Loout test @master @regression","chromium","2026-01-18","passed","2026-01-18","","LogoutTest.spec.ts","",""
"","7766","User Login Test","chromium","2026-01-15","passed","2026-01-15","","LoginTest.spec.ts","",""
"","2013","Login test with CSV Data : invalid login @datadriven","chromium","2026-01-15","passed","2026-01-15","","LoginDataDrivenTest.spec.ts","",""
"","2594","add product to cart @master @sanity @regression","chromium","2026-01-18","passed","2026-01-18","","AddToCartTest.spec.ts","",""
"","6371","User Login Test @master @sanity @regression","chromium","2026-01-18","passed","2026-01-18","","LoginTest.spec.ts","",""
"","2079","Login test with JSON Data : Invalid Login @datadriven","chromium","2026-01-15","passed","2026-01-15","","LoginDataDrivenTest.spec.ts","",""
"","13325","execute end to end test flow @end-to-end","chromium","2026-01-17","passed","2026-01-17","","EndToEndTest.spec.ts","",""
"","9427","account registraion test","chromium","2026-01-14","passed","2026-01-14","","AccountRegistration.spec.ts","",""
